Brand,Model,Price,Boite vitesse,Carrosserie,Couleur extérieure,Couleur intérieure,Cylindrée,Gouvernorat,Génération,Kilométrage,Mise en circulation,Moteur,Nombre de places,Nombre de portes,Puissance,Puissance cumulée,Puissance fiscale,Puissance thermique,Sellerie,Transmission,Énergie
Chery,Tiggo 8 Pro,96 000DT,Automatique,SUV/4x4,Bleu,Marron,1599cm³,Tunis,01/2022 - Aujourd'hui,80000km,01.2022,,5,5,,,11cv,,Cuir intégral,Traction,Essence
BYD,F3,47 000DT,Manuelle,Citadine,Blanc,Noir,1499cm³,Tunis,,10000km,12.2022,,5,5,,,7cv,,Cuir intégral,Traction,Essence
Mercedes-Benz,Classe C,255 600DT,Automatique,Berline,Noir,Beige,1599cm³,Tunis,(206) Berline04/2021 - Aujourd'hui,16000km,01.2023,180 1.5 i 16V EQ Boost 9G-TRONIC,5,5,170ch dyn,,8cv,,Cuir intégral,Traction,Essence
Citroën,C3,44 500DT,Manuelle,Citadine,Noir,Gris,1199cm³,Tunis,III (B618)07/2016 - 06/2020,58000km,11.2019,,5,5,,,5cv,,Tissu,Traction,Essence
BMW,Série 4 Coupé,107 000DT,Automatique,Coupé,Noir,Rouge,1999cm³,Tunis,(F32) Coupé07/2013 - 02/2017,160000km,02.2015,,5,3,,,10cv,,Cuir intégral,Traction,Essence
Audi,Q3,90 000DT,Automatique,SUV/4x4,Gris Shark,Gris,1799cm³,Tunis,,100000km,11.2017,,5,5,,,7cv,,Tissu,Traction,Essence
Volkswagen,Golf 8,109 000DT,Manuelle,Citadine,Gris Shark,Gris,1000cm³,Tunis,VIII Hatchback07/2019 - Aujourd'hui,26000km,12.2020,,5,5,,,6cv,,Tissu,Traction,Essence
Peugeot,208,35 000DT,Manuelle,Citadine,Gris argent,Noir,1190cm³,Tunis,II (P21) 5 Portes10/2019 - 03/2024,60000km,05.2020,,5,5,,,4cv,,Cuir partiel,Traction,Essence
Audi,A5 Cabriolet,59 000DT,Automatique,Cabriolet,Blanc,Noir,1999cm³,Tunis,,120000km,04.2010,,5,2,,,10cv,,Cuir intégral,Traction,Essence
Honda,Accord,135 000DT,Automatique,Berline,Noir,Noir,1498cm³,Tunis,,11000km,03.2022,,5,5,,,10cv,,Cuir intégral,Traction,Essence
Volkswagen,Golf 7,74 000DT,Manuelle,Citadine,Gris argent,Noir,1200cm³,Tunis,VII Phase 2 5 Portes11/2016 - 01/2021,40000km,09.2019,,5,5,,,5cv,,Cuir partiel,Traction,Essence
KIA,Sportage,119 000DT,Automatique,SUV/4x4,Bleu,Noir,1600cm³,Tunis,IV Phase 207/2018 - 12/2021,40000km,04.2020,,5,5,,,8cv,,Cuir intégral,Traction,Essence
BMW,Série 2 Gran Coupé,135 000DT,Automatique,Berline,Noir,Noir,1200cm³,Tunis,(F44) Gran Coupé11/2019 - Aujourd'hui,21000km,08.2022,,5,5,,,8cv,,Cuir intégral,Traction,Essence
Fiat,Tipo 5 portes,46 000DT,Manuelle,Citadine,Gris Shark,Noir,1300cm³,Tunis,,75000km,09.2018,,5,5,,,5cv,,Tissu,Traction,Essence
Haval,H6,150 580DT,Automatique,SUV/4x4,Noir,Noir,1599cm³,Tunis,III01/2022 - Aujourd'hui,13000km,11.2022,1.5 T 150cv boite auto,5,5,150ch dyn,,8cv,,Cuir intégral,Traction,Essence
