Name,Price,Kilométrage,Couleur du véhicule,Etat du véhicule,Boite,Année,Cylindrée,Marque,Modèle,Puissance fiscale,Type de carrosserie,Carburant
Ford Focus Titanuim,43800,275000,Argent,Avec kilométrage,Manuelle,2018,<1.0L,Ford,Focus,120,Berline,Essence
Honda CR-V,93000,180000,Gris,Nouveau,Automatique,2019,1.5L,Honda,CR-V,11,4 x 4,Essence
"Citroën C3 
📲 55 146 887",24800,173,Gris,Avec kilométrage,Manuelle,2012,1.2L,Citroen,C3,5,Compacte,Essence
Av nissan micra,26000,160000,Blanc,Avec kilométrage,Manuelle,2013,1.2L,Nissan,Micra,5,Autres,Essence
Mercedes w211 Classe E Restylée E220 Cdi phase 2 (OM646) boite auto en très bon état (Avantgarde),47500,293000,Noir,Avec kilométrage,Automatique,2006,2.2L,Mercedes-Benz,Classe E,10,Berline,Diesel
A vendre,63000,72000,Gris,Nouveau,Manuelle,2021,1.2L,Kia,Rio,5,Compacte,Essence
2013 FORD FIGO,23800,171000,Blanc,Avec kilométrage,Manuelle,2013,1.2L,Ford,Fiesta,5,Compacte,Essence
clio classic,29521690,285,Gris,Avec kilométrage,Manuelle,2005,1.2L,Renault,Symbol,5,Autres,Essence
🚘Mini Cooper cabriolet 🚘,44000,86000,Bleu,Avec kilométrage,Manuelle,2010,1.4L,mini,Cooper,7,Autres,Essence
caddy life importé,48000,250,Gris,Avec kilométrage,Manuelle,2008,1.9L,Volkswagen,Caddy,7,Utilitaire,Diesel
Ford fiesta trend,24900,180,Noir,Avec kilométrage,Manuelle,2012,1.2L,Ford,Fiesta,5,Compacte,Essence
🇫🇷5 places 🇫🇷,74500,100000,Vert,Nouveau,Manuelle,2021,1.5L,Citroen,Berlingo,6,Autres,Diesel
🇫🇷 Clio Dci 🇫🇷,45500,110000,Autre,Nouveau,Manuelle,2020,1.5L,Renault,Clio,5,Berline,Diesel
🇫🇷 A3 S_Line 🇫🇷,94500,150000,Noir,Nouveau,Automatique,2020,1.6L,Audi,A3,6,Berline,Diesel
🇫🇷Q5 S_Line 🇫🇷,205000,50000,Multicolore,Nouveau,Automatique,2021,2.0L,Audi,Q5,15,4 x 4,Essence
grande Punto 2010,22500,220,Gris,Avec kilométrage,Manuelle,2010,1.2L,Fiat,Grande Punto,5,Compacte,Essence
